最近はまっていることなどはありますか？	朝ドラでしょうか。
ぜひさがしてみようと思います！最近はインターネットショッピングばかりなので物に触れたいです。	そうなんです！普段ネットでばかり見ているせいか余計に楽しく感じられましたよ。
そうなんです！普段ネットでばかり見ているせいか余計に楽しく感じられましたよ。	便利さ以外の、心の豊かさを感じられる時間は必要ですよね
便利さ以外の、心の豊かさを感じられる時間は必要ですよね	そう思います。例えば私は音楽を聴きにライブハウスに行きますが、お金はかかるんですがすごく大事な時間です。
そう思います。例えば私は音楽を聴きにライブハウスに行きますが、お金はかかるんですがすごく大事な時間です。	ライブいいですね！わたしも以前はフェスなど行きました。どんなアーティストが好きですか？
ライブいいですね！わたしも以前はフェスなど行きました。どんなアーティストが好きですか？	メジャーのかただと、オリジナルラブの田島さんや、birdなどが好きです。
メジャーのかただと、オリジナルラブの田島さんや、birdなどが好きです。	大人なジャンルですね、ライブハウスだと結構近くで聴けますか？
大人なジャンルですね、ライブハウスだと結構近くで聴けますか？	そうですね、普段はインディーズのバンドを見ますが、手を伸ばせば届く距離ですよ。
そうですね、普段はインディーズのバンドを見ますが、手を伸ばせば届く距離ですよ。	間近で聴けるなんて至福ですね、インディーズで好きなのは何というアーティストですか？
間近で聴けるなんて至福ですね、インディーズで好きなのは何というアーティストですか？	あまりにも無名なので内緒にさせてくださいませ。でもいろいろ、おそらくお住いの地域にも良いバンドがいると思うので、ぜひ足を運んでみてください。
あまりにも無名なので内緒にさせてくださいませ。でもいろいろ、おそらくお住いの地域にも良いバンドがいると思うので、ぜひ足を運んでみてください。	ありがとうございます、休みがとれたら久々にライブハウスをのぞいてみようと思います
なるほど。だから開始されなかったのですかね。今ままでの流れでいくと開始していただけるものと思いました。	すみません。何か最近はまっている事はありますか？
すみません。何か最近はまっている事はありますか？	ハマっていると言うほどではありませんが、朝ドラに興味、やっぱりハマってます。
ハマっていると言うほどではありませんが、朝ドラに興味、やっぱりハマってます。	朝ドラですか。私は見ていないのですが、戸田恵梨香さんのですか？
朝ドラですか。私は見ていないのですが、戸田恵梨香さんのですか？	はい、そうです。
はい、そうです。	確か陶芸関係のお話でしたよね？
確か陶芸関係のお話でしたよね？	そうです！
そうです！	朝ドラは見ていませんが、戸田恵梨香さんってお綺麗ですよね。
朝ドラは見ていませんが、戸田恵梨香さんってお綺麗ですよね。	そうですね。でも今、ドラマでの設定は21歳なので、ちょっと厳しいなと。
そうですね。でも今、ドラマでの設定は21歳なので、ちょっと厳しいなと。	そうなんですか。それは確かにちょっと厳しいかもしれませんね。でも実年齢はいくつなんですか？
そうなんですか。それは確かにちょっと厳しいかもしれませんね。でも実年齢はいくつなんですか？	31歳だったと思います。
31歳だったと思います。	31歳で21歳役はさすがに戸田恵梨香でも厳しいですね。
31歳で21歳役はさすがに戸田恵梨香でも厳しいですね。	はい、しかも彼女は背が高いので。同級生役で大島優子さんが出てますが、こちらはそんなに違和感ないんですけどね。
はい、しかも彼女は背が高いので。同級生役で大島優子さんが出てますが、こちらはそんなに違和感ないんですけどね。	あー、大島優子さんにそれ程違和感がないのは分かる気がします。他はどんな俳優が出ていますか？
あー、大島優子さんにそれ程違和感がないのは分かる気がします。他はどんな俳優が出ていますか？	北村一輝さん、富田靖子さん、イッセー尾形さん、その他、吉本の芸人さんもけっこう出てます。
北村一輝さん、富田靖子さん、イッセー尾形さん、その他、吉本の芸人さんもけっこう出てます。	吉本の芸人さんですか。結構色んな人が出てるんですね。その中でどの俳優が一番好きですか？
吉本の芸人さんですか。結構色んな人が出てるんですね。その中でどの俳優が一番好きですか？	好きというのはないんですが、北村一輝さんが、二枚目だと思ってたんですが、コテコテの関西のおっちゃんを演じていて笑えます。
好きというのはないんですが、北村一輝さんが、二枚目だと思ってたんですが、コテコテの関西のおっちゃんを演じていて笑えます。	そうなんですか。北村一輝さんにコテコテの関西のおっちゃんイメージは全く無いので、ちょっと見てみたくなりました！
そうなんですか。北村一輝さんにコテコテの関西のおっちゃんイメージは全く無いので、ちょっと見てみたくなりました！	はい！怒ったら、星一徹張りに、ちゃぶ台ひっくり返すんですが、家族も心得てきて、ひっくり返そうとすると、必死にちゃぶ台押さえて。
はい！怒ったら、星一徹張りに、ちゃぶ台ひっくり返すんですが、家族も心得てきて、ひっくり返そうとすると、必死にちゃぶ台押さえて。	ちゃぶ台をひっくり返すなんて古典的ですね！急に興味がわいてきました。
ちゃぶ台をひっくり返すなんて古典的ですね！急に興味がわいてきました。	現時点では、昭和34年ということで展開してます。
現時点では、昭和34年ということで展開してます。	昭和34年ですか。かなり昔の話なんですね。
昭和34年ですか。かなり昔の話なんですね。	はい。話は尽きませんが、10回以上になっておりますが。
よろしくお願いいたします。	こちらこそ、よろしくお願いいたします。
こちらこそ、よろしくお願いいたします。	今日は暖かいですね。
今日は暖かいですね。	そうですね。日向に出ると日焼けしそうなくらいです。
そうですね。日向に出ると日焼けしそうなくらいです。	これだけ暑いと秋をすっとばして、いきなり冬が来そうですね。
これだけ暑いと秋をすっとばして、いきなり冬が来そうですね。	あり得ますね。あんまりにもいきなりだと冬眠したくなるかも知れません…
あり得ますね。あんまりにもいきなりだと冬眠したくなるかも知れません…	海水温も高いので台風も勢いがあるのでしょうね。
海水温も高いので台風も勢いがあるのでしょうね。	関東方面の台風被害にはびっくりしました。はやく被災者の方々が安心して暮らせるようになると良いのですが。
関東方面の台風被害にはびっくりしました。はやく被災者の方々が安心して暮らせるようになると良いのですが。	毎年あんなのが来るかと思うと不安ですよね。
毎年あんなのが来るかと思うと不安ですよね。	そうですね。普通の生活が出来ないとなるとストレスが大きそうですし。
そうですね。普通の生活が出来ないとなるとストレスが大きそうですし。	過去にはもっと大きいのが猛烈な被害を出してますしね。
過去にはもっと大きいのが猛烈な被害を出してますしね。	近年は大規模なものが増えている気がしますね。大阪も、未だにブルーシートを被せたままの家があるとか。
近年は大規模なものが増えている気がしますね。大阪も、未だにブルーシートを被せたままの家があるとか。	そうそう、台風じゃなくても集中豪雨の被害を受けた広島とか福岡も。
そうそう、台風じゃなくても集中豪雨の被害を受けた広島とか福岡も。	全国的に被災地が広がってますね…
全国的に被災地が広がってますね…	そうですね、都会とか地方とか関係ないですものね。
そうですね、都会とか地方とか関係ないですものね。	うちは犬がいるので、避難する必要が生じても避難所に拒否されるかも知れないことが心配です。
うちは犬がいるので、避難する必要が生じても避難所に拒否されるかも知れないことが心配です。	大型犬ですか？
大型犬ですか？	小型犬です。5キロちょっとですね。
小型犬です。5キロちょっとですね。	避難所で別に預かってもらえるといいのですが。
避難所で別に預かってもらえるといいのですが。	自治体によって対応が違うらしいですし、実際に災害が起きるとイレギュラーな事だらけなので、どうなるか分からないですよね。避難所がムリなら車中泊するしかないかもです。
こんにちは、よろしくおねがいします。	こんにちは、よろしくおねがいします。
こんにちは、よろしくおねがいします。	天気はいかがですか？
天気はいかがですか？	雨は降っていませんが、降りそうな天気ですね。
雨は降っていませんが、降りそうな天気ですね。	こちらもそうです。
こちらもそうです。	最近台風がありましたが、大丈夫でしたか?
最近台風がありましたが、大丈夫でしたか?	私も大丈夫だったんですが、ニュースで見ると大変そうでしたね。
私も大丈夫だったんですが、ニュースで見ると大変そうでしたね。	武蔵小杉があんなことになるとは、ビックリしましたね。
武蔵小杉があんなことになるとは、ビックリしましたね。	そうですね。これからも台風が来るかもというニュースを見たんですが、どうなのでしょうかね?
そうですね。これからも台風が来るかもというニュースを見たんですが、どうなのでしょうかね?	そう、ここ数年、台風が一段と大型化しているようで心配ですね。
そう、ここ数年、台風が一段と大型化しているようで心配ですね。	そうですね。何か備えておこうかと考えてます。
そうですね。何か備えておこうかと考えてます。	天皇陛下の即位の儀ってご覧になりました？
天皇陛下の即位の儀ってご覧になりました？	今日やってた儀式ですか?
今日やってた儀式ですか?	そうです、もう終わったんでしょうね。
そうです、もう終わったんでしょうね。	どうでしょう。先程少しだけ見ただけです。
どうでしょう。先程少しだけ見ただけです。	あ、今やってますね。ネットで中継してる。
あ、今やってますね。ネットで中継してる。	そうなんですね。雨が降っていたのが残念ですね。
そうなんですね。雨が降っていたのが残念ですね。	そう、10月を選んだのは天候が良いからだったでしょうにね。
そう、10月を選んだのは天候が良いからだったでしょうにね。	でもちょっと見ただけでも美しさは感じました。
でもちょっと見ただけでも美しさは感じました。	まあ、屋内の儀式ですからね。
まあ、屋内の儀式ですからね。	本当は屋外でやる予定だったんですかね?
本当は屋外でやる予定だったんですかね?	うーん、どうでしょう、興味ないんでわかりません。
よろしくお願いいたします。	よろしくお願いします。
よろしくお願いします。	今日、ちょっと寒くないですか？
今日、ちょっと寒くないですか？	いえ、こちらは晴れているので暖かいです。
いえ、こちらは晴れているので暖かいです。	考えたら、10月ももうすぐ終わりですものね。
考えたら、10月ももうすぐ終わりですものね。	今年もあと少しとなりました。何か良いことありましたか？
今年もあと少しとなりました。何か良いことありましたか？	地元のソフトバンクホークスが優勝しそうなことですね。
地元のソフトバンクホークスが優勝しそうなことですね。	野球がお好きなのですか？
野球がお好きなのですか？	優勝に絡みそうなときは気になりますね。
優勝に絡みそうなときは気になりますね。	スポーツはする方ですか？それとも観る方ですか？
スポーツはする方ですか？それとも観る方ですか？	観るほう専門ですね。
観るほう専門ですね。	他に御覧になるスポーツはありますか？
他に御覧になるスポーツはありますか？	サッカーの代表選とかはたまに観ますね。
サッカーの代表選とかはたまに観ますね。	実際にスタジアムで観ることはありますか？
実際にスタジアムで観ることはありますか？	いえ、サッカーは遠いので行きませんが、野球はたまにドームに行きますよ。
いえ、サッカーは遠いので行きませんが、野球はたまにドームに行きますよ。	私はドームへ行ったことはないですが、テレビで観るのとは迫力が違うのでしょうね。
私はドームへ行ったことはないですが、テレビで観るのとは迫力が違うのでしょうね。	そうですね、応援の音はテレビでは伝わりませんが、実際はすごいですね。
そうですね、応援の音はテレビでは伝わりませんが、実際はすごいですね。	他に何か趣味などございますか？
他に何か趣味などございますか？	食べ歩きぐらいですが、最近は控えています。
食べ歩きぐらいですが、最近は控えています。	オススメのお店はありますか？
オススメのお店はありますか？	なんだかんだいっても、結局は身近なチェーン店が安くて旨いってなりますね。
なんだかんだいっても、結局は身近なチェーン店が安くて旨いってなりますね。	回転寿司とか好きですか？
回転寿司とか好きですか？	好きですけど、量より質派ですね。
好きですけど、量より質派ですね。	私も質を重視します。
よろしくお願いいたします。	よろしくお願いします。
よろしくお願いします。	今日寒くないですか？
今日寒くないですか？	寒いですね。雨も降ってますし。
寒いですね。雨も降ってますし。	なのに台風が来るとかおかしいですよね。
なのに台風が来るとかおかしいですよね。	そうですね。今年の台風は多い気がします。
そうですね。今年の台風は多い気がします。	こんな感じで毎年来られたらたまらないですよね？
こんな感じで毎年来られたらたまらないですよね？	autumnさんのところは台風の被害はありませんでしたか？
autumnさんのところは台風の被害はありませんでしたか？	なんとか無事でした。
なんとか無事でした。	それならよかったですね！ニュースを見るのが辛くなりますよね。
それならよかったですね！ニュースを見るのが辛くなりますよね。	そうそう、そちらはいかがでしたか？
そうそう、そちらはいかがでしたか？	こちらは反れてくれたので、雨風が強いだけで大丈夫でした。
こちらは反れてくれたので、雨風が強いだけで大丈夫でした。	直撃の動画がSNSにあがってますけど、車が横転したりしてますものね。
直撃の動画がSNSにあがってますけど、車が横転したりしてますものね。	子供たちがニュースを見て怖がっていました。
子供たちがニュースを見て怖がっていました。	あれなら大人でも怖いですね。地震雷火事おやじとはよく言ったもんです。
あれなら大人でも怖いですね。地震雷火事おやじとはよく言ったもんです。	週末は晴れるんですかね。早く落ち着いてほしいですね。
週末は晴れるんですかね。早く落ち着いてほしいですね。	そうですね、少し冷え込むらしいのでカラッとするかもしれません。
そうですね、少し冷え込むらしいのでカラッとするかもしれません。	この前まで暑いと思っていたのに、秋を通り越して冬になっちゃいそうですね。
この前まで暑いと思っていたのに、秋を通り越して冬になっちゃいそうですね。	そうなんですよ、春と秋はあっという間です。
そうなんですよ、春と秋はあっという間です。	冬への準備もそろそろ始めなきゃいけませんね。
よろしくお願いいたします。	よろしくお願いします。
よろしくお願いします。	今日寒くないですか？
今日寒くないですか？	関西圏に住んでるんですが、今日は台風一過で暑かったです。。
関西圏に住んでるんですが、今日は台風一過で暑かったです。。	そうなんですね、九州はけっこう寒かったです。
そうなんですね、九州はけっこう寒かったです。	九州、美味しいものが沢山でいいですね～！
九州、美味しいものが沢山でいいですね～！	そうですね、でもこちらからすると関西も羨ましいですよ。
そうですね、でもこちらからすると関西も羨ましいですよ。	そうなんですねー！関西のものといえば何でしょう？粉物かな？
そうなんですねー！関西のものといえば何でしょう？粉物かな？	いろいろありますけど、味付けが絶妙ですね。醤油とか昆布が近いのかも。
いろいろありますけど、味付けが絶妙ですね。醤油とか昆布が近いのかも。	あ、何となくわかります！ちょっと甘めですね！
あ、何となくわかります！ちょっと甘めですね！	そうそう、関東とは全く違いますね。
そうそう、関東とは全く違いますね。	おうどんのお汁にびっくりした覚えがあります！
おうどんのお汁にびっくりした覚えがあります！	そうなんですよ、あの真っ黒は受け付けませんね。
そうなんですよ、あの真っ黒は受け付けませんね。	九州のお勧め料理は何ですか？
九州のお勧め料理は何ですか？	なんでもおいしいといえばそれまでですけど、魚のサバですね。
なんでもおいしいといえばそれまでですけど、魚のサバですね。	そうなんですね！鯖！大好きです！
そうなんですね！鯖！大好きです！	しめ鯖もいいですけど、これからの生サバは抜群です。
しめ鯖もいいですけど、これからの生サバは抜群です。	生鯖！美味しそうですね！
生鯖！美味しそうですね！	いろんな魚を味わっても、結局一周まわってサバに戻るみたいな。
いろんな魚を味わっても、結局一周まわってサバに戻るみたいな。	懐の広いお魚ですね～！
懐の広いお魚ですね～！	そうです、焼きサバでご飯は最高ですよ。
そうです、焼きサバでご飯は最高ですよ。	美味しそうですねー！滋賀の焼き鯖そうめんというのもかなり美味しかったです
よろしくお願いいたします。	よろしくお願いします。
よろしくお願いします。	今日は寒かったですか？
今日は寒かったですか？	うーんほんのり暑かったかもです、今半そで着てますよ。
うーんほんのり暑かったかもです、今半そで着てますよ。	おやおや、半そでですか？
おやおや、半そでですか？	多分私が暑がりなんだと思うんですけどね、暑くないよって言われますから。
多分私が暑がりなんだと思うんですけどね、暑くないよって言われますから。	こちら九州ですけど、長そでですね。
こちら九州ですけど、長そでですね。	ええ、こちら関西です。あれーそっちの方があったかそうですのに。
ええ、こちら関西です。あれーそっちの方があったかそうですのに。	いえいえ、北部九州は結構寒かったりするんですよ。
いえいえ、北部九州は結構寒かったりするんですよ。	北緯が高いから…とか？
北緯が高いから…とか？	日本海に面してますからね。
日本海に面してますからね。	こちら瀬戸内海なので、それが大きいかもですね。
こちら瀬戸内海なので、それが大きいかもですね。	瀬戸内は温暖ですものね。
瀬戸内は温暖ですものね。	あまり意識したことないんですけど、こうして話してみるとやっぱり暑いんでしょうね。
あまり意識したことないんですけど、こうして話してみるとやっぱり暑いんでしょうね。	淡路島とか温かそうで行ってみたいです。
淡路島とか温かそうで行ってみたいです。	近いですけど滅多に行くことないですねえ。なぜか冬にばかり行ってるので寒いです。
近いですけど滅多に行くことないですねえ。なぜか冬にばかり行ってるので寒いです。	そうなんですね、最近発見したんですけど、淡路と琵琶湖が同じ形で驚きました。
そうなんですね、最近発見したんですけど、淡路と琵琶湖が同じ形で驚きました。	あっ！そうそう、切り取ったみたいな形なんですよね。
あっ！そうそう、切り取ったみたいな形なんですよね。	玉ねぎとか食べてみたいです。
よろしくお願いいたします。	よろしくお願いいたします！今日はお休みでしょうか？
よろしくお願いいたします！今日はお休みでしょうか？	そうです、3連休です。
そうです、3連休です。	連休中は何をされていましたか？
連休中は何をされていましたか？	ずっとPCの画像データを整理してました。
ずっとPCの画像データを整理してました。	まとまった時間がないとなかなかできない作業ですよね。写真を撮られるのでしょうか？
まとまった時間がないとなかなかできない作業ですよね。写真を撮られるのでしょうか？	いえ、スマホでとった写真ですが、見返すことはありませんね。
いえ、スマホでとった写真ですが、見返すことはありませんね。	スマホだと、いくらでも撮れてしまうので、気付いたら写真が大量になりますよね。。
スマホだと、いくらでも撮れてしまうので、気付いたら写真が大量になりますよね。。	そうなんです、SNSもやりませんので、ただのスナップショットなんですが。
そうなんです、SNSもやりませんので、ただのスナップショットなんですが。	でも、何か見つけると、ついつい撮ってしまいますよね。
でも、何か見つけると、ついつい撮ってしまいますよね。	そうです。休みは何をなさってました？
そうです。休みは何をなさってました？	昨日は友達と夕飯に行って、それから久々にカラオケに行きました。
昨日は友達と夕飯に行って、それから久々にカラオケに行きました。	おお、それは充実したお休みでしたね。羨ましいです。
おお、それは充実したお休みでしたね。羨ましいです。	でも、今日は家でだらだらしています。こういう日も必要ですね。
でも、今日は家でだらだらしています。こういう日も必要ですね。	そうです。たまにはゆっくりなさるといいかもです。
そうです。たまにはゆっくりなさるといいかもです。	普段のお休みは何をされていますか？
普段のお休みは何をされていますか？	掃除洗濯お買い物であっという間につぶれちゃいますね。
掃除洗濯お買い物であっという間につぶれちゃいますね。	家事って意外と時間かかりますよね。。いつも3連休だったらいいのにと思います。
家事って意外と時間かかりますよね。。いつも3連休だったらいいのにと思います。	月に一回の３連休を固定したらいいのにと思いますね。
月に一回の３連休を固定したらいいのにと思いますね。	分かります。最低でも月1は欲しいです。
よろしくお願いいたします。	よろしくお願いします。こちらは今日は良い天気でしたよ。
よろしくお願いします。こちらは今日は良い天気でしたよ。	こちらは少し肌寒かったですね。
こちらは少し肌寒かったですね。	今年は残暑が長かったですが、そろそろ長袖の気候ですね。
今年は残暑が長かったですが、そろそろ長袖の気候ですね。	そうですね、ついこの間まで暑かったですけどね。
そうですね、ついこの間まで暑かったですけどね。	気温の下がり方が急で、風邪をひきそうです。
気温の下がり方が急で、風邪をひきそうです。	寝冷えしないように要注意ですね。
寝冷えしないように要注意ですね。	先日、慌ててシーツや掛け布団を秋冬用にとりかえました。
先日、慌ててシーツや掛け布団を秋冬用にとりかえました。	そうですね、そろそろ冬物の準備をしなくちゃいけませんね。
そうですね、そろそろ冬物の準備をしなくちゃいけませんね。	布団以外にも、食事も鍋やラーメンが増えてきました。
布団以外にも、食事も鍋やラーメンが増えてきました。	鍋大好きです。もうそんな季節ですね。
鍋大好きです。もうそんな季節ですね。	私も鍋が好きなので、冬は食事が楽しいです。
私も鍋が好きなので、冬は食事が楽しいです。	ついこの間までそうめんとかおソバが多かったんですけどね。
ついこの間までそうめんとかおソバが多かったんですけどね。	本当に急に季節がかわりますね。秋らしい日が少ない気がします。
本当に急に季節がかわりますね。秋らしい日が少ない気がします。	そうです、台風がこの時期に猛威を振るうとは。
そうです、台風がこの時期に猛威を振るうとは。	台風は怖かったですね。うちは停電ぐらいで済みましたが
台風は怖かったですね。うちは停電ぐらいで済みましたが	うちは今回のはなんとか逃れましたが、またいつ来るか不安です。
うちは今回のはなんとか逃れましたが、またいつ来るか不安です。	そうですね。来る前に備えておきたいです。
そうですね。来る前に備えておきたいです。	でも、また来年になったら油断しそうで怖いですね。
よろしくお願いいたします。	こんにちは。雨やみましたね。
こんにちは。雨やみましたね。	そうですね、思ったほどひどくなくて良かったです。
そうですね、思ったほどひどくなくて良かったです。	この前の台風のことがあったので、少し不安になっちゃいましたね。
この前の台風のことがあったので、少し不安になっちゃいましたね。	そうですよ、また来てますからね。
そうですよ、また来てますからね。	勘弁してほしいってのが正直なところですよね。
勘弁してほしいってのが正直なところですよね。	年々、巨大化してるような気がします。
年々、巨大化してるような気がします。	来年がおそろしいですね。ところで、もしかして猫好きですか？
来年がおそろしいですね。ところで、もしかして猫好きですか？	はい、飼ってませんけど、Twitterとかはフォローしてます。
はい、飼ってませんけど、Twitterとかはフォローしてます。	そうなんですね！私は猫を飼ってますよ。
そうなんですね！私は猫を飼ってますよ。	おお、羨ましい。何の種類ですか？
おお、羨ましい。何の種類ですか？	茶虎の男の子なんです。4歳ぐらいです。
茶虎の男の子なんです。4歳ぐらいです。	一番元気な時ですね。
一番元気な時ですね。	めちゃくちゃやんちゃで、甘えん坊ですよ。
めちゃくちゃやんちゃで、甘えん坊ですよ。	Twitterにあげたりなさってます？
Twitterにあげたりなさってます？	してないんですよ。ちょっとやってみたいなとは思ってるんですが。
してないんですよ。ちょっとやってみたいなとは思ってるんですが。	ホイップちゃんとかフォロワーがすごいですよね。
ホイップちゃんとかフォロワーがすごいですよね。	知ってます！可愛い子ですよね。写真も上手で。
知ってます！可愛い子ですよね。写真も上手で。	そう、でもライバルが多いから厳しい世界でしょうね。
そう、でもライバルが多いから厳しい世界でしょうね。	でも、見てる方は可愛い子がたくさん見えてうはうはですね。
よろしくお願いいたします。	よろしくお願いします。
よろしくお願いします。	今日は天気が良いですか？
今日は天気が良いですか？	今日はすごく天気が良くて気持ちいいです！
今日はすごく天気が良くて気持ちいいです！	やっとまともな天気を楽しめる季節になりましたね。
やっとまともな天気を楽しめる季節になりましたね。	ほんとですね！今年はとにかく雨ばかりで困りますよね。
ほんとですね！今年はとにかく雨ばかりで困りますよね。	普通の年っていうのがありませんね。極端で。
普通の年っていうのがありませんね。極端で。	異常気象らしいですよ。地上の温度が高いから台風ができやすいとか…
異常気象らしいですよ。地上の温度が高いから台風ができやすいとか…	確かに、海水温が高いっていうのもあるでしょうね。
確かに、海水温が高いっていうのもあるでしょうね。	そうですね。秋はもっと紅葉を楽しんだりしたいのにこんなに雨ばかり降って外にでる気が起きません。
そうですね。秋はもっと紅葉を楽しんだりしたいのにこんなに雨ばかり降って外にでる気が起きません。	そうそう、気候が経済に与える打撃も大きいと思いますね。
そうそう、気候が経済に与える打撃も大きいと思いますね。	観光に来た外国人の方がかわいそうでした。
観光に来た外国人の方がかわいそうでした。	確かに、日本がここまで暑いとは思わないでしょうね。
確かに、日本がここまで暑いとは思わないでしょうね。	でも外国の方みんな暑さ寒さに強い印象です。だっていつも半袖を着てるから…！
でも外国の方みんな暑さ寒さに強い印象です。だっていつも半袖を着てるから…！	そうそう、それにハンディ扇風機持ってるイメージ。
そうそう、それにハンディ扇風機持ってるイメージ。	アレ、あんまり体に良くないらしいですよ。暑い所で使うと熱風を吹き付ける事になるらしいです。
アレ、あんまり体に良くないらしいですよ。暑い所で使うと熱風を吹き付ける事になるらしいです。	頭がもうろうとしそうですね。
頭がもうろうとしそうですね。	ハンディ扇風機の背の所に保冷剤などをつけて当てるのが効果的らしいです！
ハンディ扇風機の背の所に保冷剤などをつけて当てるのが効果的らしいです！	うーん、そこまでして持ち歩くのはちょっと考えるかもしれませんね。
うーん、そこまでして持ち歩くのはちょっと考えるかもしれませんね。	私もそう思います！今年の夏はみんな片手に持ってて異様な光景でしたよね。
よろしくお願いいたします。	今日は祝日だったんですね。
今日は祝日だったんですね。	そうなんですよ、実感わきませんが。
そうなんですよ、実感わきませんが。	30分の儀式と夜の晩餐会と併せて100億円以上使うようですね。
30分の儀式と夜の晩餐会と併せて100億円以上使うようですね。	うは、あとから問題になりそうですね。
うは、あとから問題になりそうですね。	その分で千葉県の家の瓦を買っても、お釣りが来ますね。
その分で千葉県の家の瓦を買っても、お釣りが来ますね。	そうですよ、消費税も上げたばっかりですからね。
そうですよ、消費税も上げたばっかりですからね。	私は消費税が上がっていないドラッグストアで買い物してます。
私は消費税が上がっていないドラッグストアで買い物してます。	近所にあるんですか？
近所にあるんですか？	車で10分の場所で、内税で9月と値段が変わっていません。
車で10分の場所で、内税で9月と値段が変わっていません。	へー、実質的な値下げですね、松屋もそうでしたっけ。
へー、実質的な値下げですね、松屋もそうでしたっけ。	8パーセントと10パーセントがあるのは、お店にとってはマイナスですよね。
8パーセントと10パーセントがあるのは、お店にとってはマイナスですよね。	だと思います。
だと思います。	今回、レジ買い替えで随分儲かった業者もいるようですね。
今回、レジ買い替えで随分儲かった業者もいるようですね。	でしょうね、特需ですからね。
でしょうね、特需ですからね。	私はプレミアム商品券で、1万5千円浮きました。
私はプレミアム商品券で、1万5千円浮きました。	おお、買い物上手ですね。
よろしくお願いいたします。	こちらこそよろしくお願いします！
こちらこそよろしくお願いします！	今日は少し寒いですね。
今日は少し寒いですね。	そうですね、最近ずっと寒いんで少し慣れてきました！
そうですね、最近ずっと寒いんで少し慣れてきました！	この前までずっと暑くて台風に悩まされてたんですけどね。
この前までずっと暑くて台風に悩まされてたんですけどね。	私は台風の経験あまりないです、、、北の方なので！
私は台風の経験あまりないです、、、北の方なので！	それは幸せなことですよ。羨ましいです。
それは幸せなことですよ。羨ましいです。	冬寒いから辛いですけど、、、
冬寒いから辛いですけど、、、	それはありますけど、ウィンタースポーツが楽しめるのでいいと思います。
それはありますけど、ウィンタースポーツが楽しめるのでいいと思います。	それはありますね～スノボとか楽しいです！
それはありますね～スノボとか楽しいです！	わざわざ海外から来られる方もおられるとか。
わざわざ海外から来られる方もおられるとか。	結構いますねー！韓国とか中国多いです、、、
結構いますねー！韓国とか中国多いです、、、	雪質が海外とは違うんでしょうね。
雪質が海外とは違うんでしょうね。	そうですね、ニセコとかキロロは凄い人気ですね
そうですね、ニセコとかキロロは凄い人気ですね	有名ですね。九州なので行ってみたいです。
有名ですね。九州なので行ってみたいです。	九州は遠いいですね、、、私は別府に行きたいです！
